Player_name,W_Grass,W_Clay,W_Hard,W_Carpet
Adrian Voinea,0.5,0.384615384615,0.484848484848,0.4
Agustin Calleri,0.266666666667,0.597156398104,0.459854014599,0.4
Alejandro Falla,0.390243902439,0.428571428571,0.39156626506,0.5
Alex Corretja,0.666666666667,0.59793814433,0.521739130435,0.2
Alexander Peya,0.210526315789,0.272727272727,0.444444444444,0.375
Alexander Waske,0.294117647059,0.35,0.275862068966,0.444444444444
Andre Agassi,0.588235294118,0.75,0.800925925926,0.571428571429
Andre Sa,0.52380952381,0.428571428571,0.341463414634,0.411764705882
Andreas Seppi,0.577777777778,0.516666666667,0.448680351906,0.285714285714
Andrei Pavel,0.428571428571,0.590551181102,0.464788732394,0.702702702703
Andy Murray,0.842519685039,0.692810457516,0.788908765653,0.727272727273
Andy Roddick,0.803738317757,0.59649122807,0.762867647059,0.72972972973
Antony Dupuis,0.545454545455,0.276595744681,0.407894736842,0.555555555556
Arnaud Clement,0.581081081081,0.434782608696,0.46218487395,0.511111111111
Benjamin Becker,0.545454545455,0.244444444444,0.406130268199,0.333333333333
Bjorn Phau,0.0714285714286,0.392857142857,0.388059701493,0.25
Blaz Kavcic,0.153846153846,0.433333333333,0.380952380952,0.666666666667
Bohdan Ulihrach,0.363636363636,0.326530612245,0.430555555556,0.454545454545
Carlos Moya,0.428571428571,0.728873239437,0.600917431193,0.75
Cecil Mamiit,0.230769230769,0.333333333333,0.389830508475,0.4
Christophe Rochus,0.0952380952381,0.416666666667,0.301886792453,0.230769230769
Conor Niland,0.2,0.5,0.5,0.428571428571
Cyril Saulnier,0.44,0.153846153846,0.434782608696,0.608695652174
Danai Udomchoke,0.333333333333,0.333333333333,0.461538461538,0.571428571429
Daniel King Turner,1.0,0.333333333333,0.521739130435,1.0
Daniele Bracciali,0.5,0.4,0.342105263158,0.384615384615
David Ferrer,0.641791044776,0.716386554622,0.646833013436,0.428571428571
David Nalbandian,0.711538461538,0.645933014354,0.653846153846,0.695652173913
Davide Sanguinetti,0.344827586207,0.320754716981,0.511450381679,0.51724137931
Dick Norman,0.333333333333,0.235294117647,0.210526315789,0.333333333333
Dmitry Tursunov,0.55223880597,0.391891891892,0.522491349481,0.619047619048
Dominik Hrbaty,0.277777777778,0.481818181818,0.535087719298,0.545454545455
Dudi Sela,0.48,0.19512195122,0.454545454545,1.0
Ernests Gulbis,0.375,0.544117647059,0.505928853755,0.705882352941
Evgeny Korolev,0.166666666667,0.4,0.5,0.25
Fabrice Santoro,0.593220338983,0.274509803922,0.529953917051,0.448275862069
Feliciano Lopez,0.663716814159,0.51652892562,0.513131313131,0.5
Felix Mantilla,0.25,0.540322580645,0.523076923077,0.363636363636
Fernando Gonzalez,0.615384615385,0.708860759494,0.632958801498,0.567567567568
Fernando Verdasco,0.569620253165,0.623880597015,0.536992840095,0.529411764706
Filippo Volandri,0.153846153846,0.540453074434,0.136363636364,0.166666666667
Flavio Saretta,0.5,0.5,0.358974358974,1.0
Florent Serra,0.346153846154,0.461538461538,0.41935483871,0.142857142857
Florian Mayer,0.627118644068,0.515463917526,0.43347639485,0.428571428571
Frank Dancevic,0.477272727273,0.047619047619,0.37962962963,0.555555555556
Frederic Niemeyer,0.333333333333,0.4,0.15,1.0
Frederico Gil,0.125,0.547619047619,0.387755102041,0.5
Gael Monfils,0.586206896552,0.624309392265,0.651851851852,0.6
Gaston Gaudio,0.428571428571,0.712062256809,0.484210526316,0.428571428571
